Timestamp,GFO_Computed_Density,GFO_Accelerometer_Density,GFO_JB08,GFO_DTM2000,GFO_NRLMSISE-00
2023-04-23 13:59:12,8.002193177350673e-13,7.6655951e-13,6.979030411289208e-13,1.030525877366029e-12,7.407836e-13
2023-04-23 13:59:27,8.005934560068094e-13,7.6488154e-13,7.040908867169574e-13,1.0322176466702976e-12,7.477705e-13
2023-04-23 13:59:42,7.90076418144723e-13,7.6648708e-13,7.103311702249691e-13,1.0340985072598784e-12,7.54955e-13
2023-04-23 13:59:57,7.922614982973407e-13,7.844895e-13,7.16619658289867e-13,1.0361661709324969e-12,7.6233095e-13
2023-04-23 14:00:12,7.814324704834597e-13,7.9035795e-13,7.229148585065779e-13,1.0384151905117482e-12,7.6986106e-13
2023-04-23 14:00:27,7.828511311159609e-13,7.906118e-13,7.2923804401599e-13,1.0408428547572293e-12,7.7753315e-13
2023-04-23 14:00:42,7.845877189982388e-13,7.9055689e-13,7.355911941503792e-13,1.04344373783374e-12,7.853327e-13
2023-04-23 14:00:57,7.840255581228289e-13,7.9888877e-13,7.419693837229808e-13,1.0462156199056845e-12,7.9322887e-13
2023-04-23 14:01:12,7.852242385117257e-13,8.0446763e-13,7.48365506341051e-13,1.0491539976291529e-12,8.0120584e-13
2023-04-23 14:01:27,7.749311594490025e-13,8.1670901e-13,7.54774321596784e-13,1.0522579863238908e-12,8.0924514e-13
2023-04-23 14:01:42,7.747664473026234e-13,8.2157932e-13,7.611883695758907e-13,1.0555247412192428e-12,8.173203e-13
2023-04-23 14:01:57,7.786428761107259e-13,8.3148106e-13,7.6760209736728e-13,1.0589553633362957e-12,8.254285e-13
2023-04-23 14:02:12,7.784129367990782e-13,8.393434e-13,7.74007707598334e-13,1.0625492417410823e-12,8.335254e-13
2023-04-23 14:02:27,7.766844590757275e-13,8.5253373e-13,7.80399357945542e-13,1.0663099486385604e-12,8.416355e-13
2023-04-23 14:02:42,7.752856869162385e-13,8.5773888e-13,7.867689478215846e-13,1.0702394991937061e-12,8.497057e-13
2023-04-23 14:02:57,7.660878860423681e-13,8.7140629e-13,7.93110380491302e-13,1.074344219669056e-12,8.577522e-13
2023-04-23 14:03:12,7.637931262251507e-13,8.7908002e-13,7.994152776169841e-13,1.0786289034011609e-12,8.6574124e-13
2023-04-23 14:03:27,7.65156609758267e-13,8.917965e-13,8.05677312171013e-13,1.0831026640028836e-12,8.736809e-13
2023-04-23 14:03:42,7.643597044866603e-13,8.9897176e-13,8.11887852479361e-13,1.0877729829864422e-12,8.8154424e-13
2023-04-23 14:03:57,7.587724948793551e-13,9.1270226e-13,8.18040361775883e-13,1.0926515454603085e-12,8.8933017e-13
2023-04-23 14:04:12,7.51317638573714e-13,9.2164697e-13,8.241259622241994e-13,1.0977481601663753e-12,8.9704627e-13
2023-04-23 14:04:27,7.479374925703042e-13,9.4070027e-13,8.301379143478672e-13,1.1030766009795269e-12,9.0466946e-13
2023-04-23 14:04:42,7.470132010828068e-13,9.4978684e-13,8.360671272259897e-13,1.1086484284542301e-12,9.12199e-13
2023-04-23 14:04:57,7.540761099236152e-13,9.6596915e-13,8.419066917286877e-13,1.1144788109417705e-12,9.196501e-13
2023-04-23 14:05:12,7.547478697175179e-13,9.7341636e-13,8.476473163756676e-13,1.1205802171458785e-12,9.269925e-13
2023-04-23 14:05:27,7.481013774080687e-13,9.8280459e-13,8.532819151576724e-13,1.1269682337488086e-12,9.342477e-13
2023-04-23 14:05:42,7.448230688946582e-13,9.8624677e-13,8.588009618031708e-13,1.1336551227465157e-12,9.414212e-13
2023-04-23 14:05:57,7.382336740001751e-13,9.9118407e-13,8.641971348427705e-13,1.1406556668128678e-12,9.484976e-13
2023-04-23 14:06:12,7.335145071012541e-13,9.9226813e-13,8.694605866188592e-13,1.1479806070122581e-12,9.554832e-13
2023-04-23 14:06:27,7.339978247337898e-13,9.9665981e-13,8.74583607477854e-13,1.1556425284374419e-12,9.623871e-13
2023-04-23 14:06:42,7.337306374110079e-13,9.9839946e-13,8.79555760570314e-13,1.163649207841765e-12,9.692122e-13
2023-04-23 14:06:57,7.415359508425589e-13,1.001257e-12,8.843683557178412e-13,1.1720095438633073e-12,9.759614e-13
2023-04-23 14:07:12,7.408118198697314e-13,1.0019351e-12,8.890085971527928e-13,1.1807268195249506e-12,9.826422e-13
2023-04-23 14:07:27,7.287072271031717e-13,1.0022261e-12,8.934702220856911e-13,1.1898047025388525e-12,9.892422e-13
2023-04-23 14:07:42,7.234473793588869e-13,1.002873e-12,8.97753074364937e-13,1.1992403980350582e-12,9.957795e-13
2023-04-23 14:07:57,7.237234377976391e-13,1.0075333e-12,9.018579425537526e-13,1.209030826608306e-12,1.002263e-12
2023-04-23 14:08:12,7.302533797325345e-13,1.010419e-12,9.057824790935317e-13,1.219165772661091e-12,1.008675e-12
