UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,DTM-2000
2023-05-06 00:16:57,-5512246.383457517,594193.3865814415,4034818.0975431264,-4482.886134713466,313.8079700644039,-6165.410827634654,,,,-2.032538528595751e-07,-5.3390048937451695e-08,2.05321388335733e-07,-3.1311858754300973e-13,6.187344396441276e-13,1.3845689824758092e-12,1.4622865851299665e-12,1.4622865851299663e-12
2023-05-06 00:17:12,-5578720.657497784,598817.7051170818,3941779.047078847,-4380.141277619388,302.75318699962673,-6239.51067529348,,,,-1.674260534656469e-07,-4.7449217333017664e-08,1.848112285429693e-07,-3.6570571883207083e-13,6.193243857333327e-13,1.3864601517986869e-12,1.452465802272725e-12,1.452465802272725e-12
2023-05-06 00:17:27,-5643644.488869904,603275.5567313666,3847641.440836105,-4276.170004543725,291.61335087634035,-6311.8779816471115,,,,-2.410864192725626e-07,-2.0277709511518083e-08,1.867551455703165e-07,-1.3013915719122105e-13,6.198729326830218e-13,1.3880174977895896e-12,1.4423997127050364e-12,1.4423997127050364e-12
2023-05-06 00:17:42,-5706999.770774739,607565.6964546167,3752431.473271326,-4171.001330527747,280.39157491012685,-6382.492176668843,,,,-2.101290315081883e-07,-9.90441850756696e-09,1.546094949844701e-07,-9.58736841419777e-14,6.203757586528177e-13,1.3891978929723256e-12,1.432155353666263e-12,1.432155353666263e-12
2023-05-06 00:17:57,-5768768.687676673,611686.9104513279,3656175.542916935,-4064.6645103051105,269.0909891608628,-6451.33301992767,,,,-2.2773002061882153e-07,-1.1932306476225564e-08,1.6971542393662278e-07,-1.458437559762882e-13,6.208304280959243e-13,1.3899645216220665e-12,1.4218039431768088e-12,1.4218039431768088e-12
2023-05-06 00:18:12,-5828934.01422513,615638.0481569092,3558900.446799393,-3957.189264666876,257.7147555902641,-6518.380937514915,,,,-2.460325099207239e-07,-1.0217746648777393e-08,1.6542260805607614e-07,-9.116487175581008e-14,6.212326497722793e-13,1.3902802295286145e-12,1.4114126768565294e-12,1.4114126768565294e-12
2023-05-06 00:18:27,-5887478.823345425,619417.9907629133,3460633.175985251,-3848.605542134556,246.26605186473165,-6583.616692755704,,,,-3.24150051689287e-07,-9.755582230930317e-09,1.907270332779376e-07,-1.0132895728796998e-14,6.215800399148598e-13,1.3901150714427089e-12,1.4010515085538277e-12,1.4010515085538275e-12
2023-05-06 00:18:42,-5944386.790881391,623025.6832145546,3361401.0992073896,-3738.9437360940688,234.7480865675684,-6647.021731388009,,,,-2.884678353964887e-07,1.0046586451650796e-08,1.0837327124590956e-07,3.019304336768583e-13,6.218683777868786e-13,1.3894395322437177e-12,1.3907850628285308e-12,1.3907850628285308e-12
2023-05-06 00:18:57,-5999641.897717919,626460.1026520068,3261231.7689837436,-3628.2344558976174,223.16408378955575,-6708.577845039928,,,,-2.864001995561694e-07,1.1832923085819402e-08,9.275602508296289e-08,3.514234949844145e-13,6.220953700014408e-13,1.3882320242428325e-12,1.3806793945571774e-12,1.3806793945571774e-12
2023-05-06 00:19:12,-6053228.741985621,629720.2912416207,3160153.0953061464,-3516.5087298981193,211.5172987344864,-6768.267526487205,,,,-2.0991446092466506e-07,-1.921231007617763e-08,1.106826874597289e-07,-1.3507517244872495e-14,6.222568783426939e-13,1.3864719067368034e-12,1.37079400468354e-12,1.37079400468354e-12
