Unnamed: 0,UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,latitude,longitude,altitude,nrlensys-00,NRLMSISE-00,AccelerometerDensity,EDR Density
2443,2021-03-19 08:10:42,-989160.9337056736,5799649.975341337,-3545126.9738837234,-800.2352810216108,3854.092210006085,6524.264699859033,,,,-2.170893886876968e-08,-4.1034807551909587e-08,-1.933329896175451e-07,-1.182998883349842e-12,1.3872288532738633e-13,1.573170773975491e-13,1.6088479097392677e-13,-31.24863244864997,160.10778812731405,496522.16029628745,1.4125039e-13,1.436633e-13,1.0588111e-13,
2444,2021-03-19 08:10:57,-1001027.108406064,5856656.58481031,-3446775.828916952,-781.8849912760095,3746.614703610556,6588.917560600082,,,,-5.002109815244182e-08,2.449271274684861e-08,-2.349327452577655e-07,-1.1956143109711348e-12,1.3990642977760025e-13,1.57651643881156e-13,1.61973982933998e-13,-30.292612483220715,160.06807464415772,496241.74274235056,1.4207017e-13,1.4445308e-13,1.0654682e-13,
2445,2021-03-19 08:11:12,-1012616.3938184808,5912043.186925629,-3347468.5565904314,-763.3167508396049,3638.091243092745,6651.748353540109,,,,-3.193242115173689e-08,1.4047670582328921e-08,-2.791789794898137e-07,-1.5029086621957061e-12,1.4107326556888805e-13,1.579341358512607e-13,1.630843115970195e-13,-29.33640492319754,160.02792178528586,495967.6210747115,1.429054e-13,1.4525963e-13,1.0643831e-13,
2446,2021-03-19 08:11:27,-1023925.546396593,5965794.241909761,-3247232.5788634964,-744.5356899359808,3528.551854433919,6712.739107592499,,,,-4.4059869752643976e-08,6.169199906480571e-08,-2.606815003858287e-07,-1.264859744691968e-12,1.4222193225632734e-13,1.5816615406299913e-13,1.642106405616396e-13,-28.38001376401738,159.98735414851944,495700.0009026955,1.4375018e-13,1.4607736e-13,1.0797438e-13,
2447,2021-03-19 08:11:42,-1034951.4259867565,6017894.814845303,-3146095.6699113077,-725.5470201103803,3418.0269624801967,6771.872535420433,,,,-5.6756365829357946e-08,1.1254558085482813e-07,-2.177046583007325e-07,-8.844692694686743e-13,1.4335047965676256e-13,1.5834908717829662e-13,1.6534715331807977e-13,-27.423443201684982,159.94639498308527,495439.25867164385,1.4460353e-13,1.469052e-13,1.0889851e-13,
2448,2021-03-19 08:11:57,-1045690.9447154148,6068330.275991836,-3044085.7749943663,-706.3559926941697,3306.547187923704,6829.131693590833,,,,-5.2490223723111746e-08,9.349617258180842e-08,-2.277881065992915e-07,-1.020075667369539e-12,1.4445742626004876e-13,1.5848518832624477e-13,1.6648851437808885e-13,-26.46669760436762,159.90506629702833,495185.5873069851,1.4545919e-13,1.477361e-13,1.1021971e-13,
2449,2021-03-19 08:12:12,-1056141.1204366656,6117086.611456726,-2941231.171498718,-686.9679368415474,3194.143535975769,6884.500330535739,,,,-4.865362623895919e-08,1.7888083014838685e-08,-2.0333045425147136e-07,-1.1040492831101748e-12,1.4554080115676918e-13,1.5857651015515306e-13,1.6762881613134034e-13,-25.50978154179451,159.86338895350252,494939.3495847772,1.4631436e-13,1.485683e-13,1.1031272e-13,
2450,2021-03-19 08:12:27,-1066299.0244511196,6164150.118337543,-2837560.2976013585,-667.3882203305658,3080.8471989998607,6937.962545509282,,,,-4.2409549649846674e-08,8.160214104435681e-08,-2.8893740244839705e-07,-1.4545252854369105e-12,1.4659911724478637e-13,1.5862598375080105e-13,1.687627542297656e-13,-24.55269975065995,159.8213827602586,494700.7240698336,1.4716566e-13,1.4939807e-13,1.1084557e-13,
2451,2021-03-19 08:12:42,-1076161.836117779,6209507.721844869,-2733101.902517536,-647.6222876118537,2966.6897334488085,6989.503149188842,,,,-4.9863852824572064e-08,1.673014216052593e-07,-3.000270809572214e-07,-1.3226141922878453e-12,1.476303952983983e-13,1.5863633845691064e-13,1.6988455327721858e-13,-23.5954571576718,159.77906654901238,494470.0596674597,1.4800665e-13,1.5021891e-13,1.1147528e-13,
2452,2021-03-19 08:12:57,-1085726.7894427804,6253146.663556471,-2627884.8855844634,-627.6756208521582,2851.7028720942985,7039.107311233965,,,,-5.8149953074959626e-08,2.117775874665995e-07,-2.593201688938507e-07,-9.99337817732643e-13,1.4863315533114178e-13,1.5861118243347045e-13,1.7098915769118001e-13,-22.638058849876355,159.73645825339923,494247.5203067853,1.488377e-13,1.5103106e-13,1.1261081e-13,
2453,2021-03-19 08:13:12,-1094991.2289624074,6295054.822405842,-2521938.435588961,-607.5537764101201,2735.918688894074,7086.7609258096645,,,,-3.7546842079905225e-08,1.4257675307050024e-07,-1.175799364538932e-07,-3.546317460260889e-13,1.496054286921818e-13,1.585539100240895e-13,1.7207113936954278e-13,-21.680510099054853,159.6935749792856,494033.4387237472,1.4965317e-13,1.51829e-13,1.1360755e-13,
2454,2021-03-19 08:13:27,-1103952.5549444174,6335220.398868089,-2415291.880396087,-587.2623464549465,2619.36942334559,7132.450255216603,,,,-4.4204591542751366e-08,1.536094762499829e-07,-2.3314312702638065e-07,-1.040841811726999e-12,1.50545761511411e-13,1.5846877262011954e-13,1.7312589372773753e-13,-20.722816327293167,159.65043306707207,493827.96199934144,1.5044842e-13,1.5260768e-13,1.1468709e-13,
2455,2021-03-19 08:13:42,-1112608.280052321,6373632.242229015,-2307974.8147342457,-566.8069922062177,2502.087635919097,7176.1623097926185,,,,-4.163409172974752e-08,5.1688550328776734e-08,-2.991430112508908e-07,-1.6803724724723461e-12,1.5145220861861334e-13,1.5835976393015417e-13,1.741485191106106e-13,-19.76498312116633,159.60704814736272,493631.40692775394,1.5121975e-13,1.533638e-13,1.1552898e-13,
2456,2021-03-19 08:13:57,-1120955.9737046442,6410279.528157246,-2200016.9613658884,-546.1934077223566,2384.1060364586733,7217.884478452208,,,,-6.294163656939133e-08,2.2652634434905394e-07,-2.6885793147357617e-07,-1.1517012539477477e-12,1.5232335406576708e-13,1.5823168430203926e-13,1.7513502162514693e-13,-18.807016208817092,159.56343519863586,493443.904215209,1.5196565e-13,1.5409554e-13,1.164767e-13,
2457,2021-03-19 08:14:12,-1128993.3199442225,6445152.089041969,-2091448.2883263235,-525.4273493667829,2265.457611330909,7257.604916379363,,,,-5.885254750204184e-08,3.1081323292880825e-07,-3.0943579876208105e-07,-1.273584524606016e-12,1.53157294039408e-13,1.5808900973680288e-13,1.7608117189155796e-13,-17.848921481077635,159.51960859869283,493265.7532502093,1.5268365e-13,1.5480035e-13,1.1742423e-13,
2458,2021-03-19 08:14:27,-1136718.0605460715,6478240.087669737,-1982298.8802681065,-504.51460354248417,2146.1754782085636,7295.31215899716,,,,-4.599458724996453e-08,2.639112173241643e-07,-2.256333186956283e-07,-8.90661940028097e-13,1.5395266950041505e-13,1.5793694381020105e-13,1.7698371140368637e-13,-16.89070496010643,159.47558217154656,493097.0663993303,1.533692e-13,1.5547469e-13,1.1956878e-13,
