UTC,x,y,z,xv,yv,zv,EDR Density,Drag Work,Delta Energy,g_con_integ,g_noncon_integ,delta_v
2024-05-08 22:01:41,801752.1897434442,-1415620.3382082821,-6666800.149212782,4188.465537925219,-6098.482151121298,1790.0559686011088,2.1125664815901436e-11,29.82649591937661,-29.82649591937661,-0.0,0.0,-29.82649591937661
2024-05-08 22:01:42,805940.1493099756,-1421717.927677897,-6665005.887251576,4187.479043052045,-6096.741517950293,1798.2578645121578,2.0986692414252846e-11,29.630338985472918,-29.630338985472918,-0.0,0.0,-29.630338985472918
2024-05-08 22:01:43,810127.1202384221,-1427813.7735006586,-6663203.427460097,4186.487412162792,-6094.993406836411,1806.457548058612,2.0846692943952893e-11,29.432731989771128,-29.432731989771128,-0.0,0.0,-29.432731989771128
2024-05-08 22:01:44,814313.0974135979,-1433907.8682352854,-6661392.7722233655,4185.490646565974,-6093.237820046414,1814.6550093227165,2.0705726489016696e-11,29.233759742230177,-29.233759742230177,-0.0,0.0,-29.233759742230177
2024-05-08 22:01:45,818498.0757203178,-1440000.2044404955,-6659573.923926401,4184.488747570114,-6091.4747598470685,1822.8502383867162,2.056385308315469e-11,29.033506982028484,-29.033506982028484,-0.0,0.0,-29.033506982028484
2024-05-08 22:01:46,822682.0500433962,-1446090.7746750074,-6657746.884954224,4183.481716483728,-6089.704228505139,1831.043225332856,2.0421132780996498e-11,28.83205847814679,-28.83205847814679,-0.0,0.0,-28.83205847814679
2024-05-08 22:01:47,826865.0152676475,-1452179.5714975398,-6655911.657691854,4182.469554615333,-6087.9262282873915,1839.233960243381,2.0277625663350218e-11,28.629499036818743,-28.629499036818743,-0.0,0.0,-28.629499036818743
2024-05-08 22:01:48,831046.9662778858,-1458266.5874668104,-6654068.244524312,4181.452263273451,-6086.140761460587,1847.422433200536,2.0133391826630494e-11,28.425913486629725,-28.425913486629725,-0.0,0.0,-28.425913486629725
2024-05-08 22:01:49,835227.8979589262,-1464351.8151415375,-6652216.647836615,4180.429843766596,-6084.347830291494,1855.6086342865663,1.9988491337985564e-11,28.22138661518693,-28.22138661518693,-0.0,0.0,-28.22138661518693
2024-05-08 22:01:50,839407.8051955828,-1470435.24708044,-6650356.8700137865,4179.40229740329,-6082.5474370468755,1863.7925535837167,1.9842984309158447e-11,28.016003273427486,-28.016003273427486,-0.0,0.0,-28.016003273427486
2024-05-08 22:01:51,843586.68287267,-1476516.8758422357,-6648488.913440845,4178.369625492048,-6080.739583993496,1871.9741811742326,1.9696930851613772e-11,27.809848312288523,-27.809848312288523,-0.0,0.0,-27.809848312288523
2024-05-08 22:01:52,847764.5258750024,-1482596.6939856438,-6646612.780502809,4177.33182934139,-6078.92427339812,1880.1535071403587,1.9550391076519825e-11,27.603006582707167,-27.603006582707167,-0.0,0.0,-27.603006582707167
2024-05-08 22:01:53,851941.3290873944,-1488674.6940693813,-6644728.473584699,4176.288910259836,-6077.1015075275145,1888.3305215643395,1.9403425070983853e-11,27.395562902092934,-27.395562902092934,-0.0,0.0,-27.395562902092934
2024-05-08 22:01:54,856117.0873946606,-1494750.8686521677,-6642835.995071537,4175.2408695559,-6075.271288648442,1896.5052145284205,1.9256093011489936e-11,27.18760221451521,-27.18760221451521,-0.0,0.0,-27.18760221451521
2024-05-08 22:01:55,860291.7956816152,-1500825.2102927207,-6640935.347348341,4174.187708538105,-6073.43361902767,1904.677576114847,1.910845497126955e-11,26.979209318757057,-26.979209318757057,-0.0,0.0,-26.979209318757057
2024-05-08 22:01:56,864465.4488330727,-1506897.711549759,-6639026.532800131,4173.129428514966,-6071.588500931958,1912.8475964058634,1.8960571134002353e-11,26.770469170063734,-26.770469170063734,-0.0,0.0,-26.770469170063734
2024-05-08 22:01:57,868638.0417338478,-1512968.3649820003,-6637109.553811925,4172.066030795002,-6069.735936628076,1921.0152654837154,1.881250158799481e-11,26.561466589570045,-26.561466589570045,-0.0,0.0,-26.561466589570045
2024-05-08 22:01:58,872809.5692687548,-1519037.163148164,-6635184.412768747,4170.997516686733,-6067.875928382786,1929.1805734306472,1.8664306489748846e-11,26.352286495268345,-26.352286495268345,-0.0,0.0,-26.352286495268345
2024-05-08 22:01:59,876980.0263226082,-1525104.0986069674,-6633251.112055615,4169.923887498675,-6066.008478462854,1937.3435103289041,1.851604596895779e-11,26.143013767898083,-26.143013767898083,-0.0,0.0,-26.143013767898083
2024-05-08 22:02:00,881149.4077802221,-1531169.1639171296,-6631309.654057547,4168.8451445393475,-6064.133589135043,1945.5040662607314,1.836778017861932e-11,25.933733321726322,-25.933733321726322,-0.0,0.0,-25.933733321726322
2024-05-08 22:02:01,885317.7085264117,-1537232.3516373683,-6629360.041159566,4167.7612891172685,-6062.251262666119,1953.6622313083735,1.821956921058621e-11,25.72452998533845,-25.72452998533845,-0.0,0.0,-25.72452998533845
2024-05-08 22:02:02,889484.9234459908,-1543293.6543264023,-6627402.275746691,4166.672322540957,-6060.361501322848,1961.817995554076,1.8071473238025415e-11,25.51548870280385,-25.51548870280385,-0.0,0.0,-25.51548870280385
2024-05-08 22:02:03,893651.0474237741,-1549353.0645429494,-6625436.36020394,4165.57824611893,-6058.464307371993,1969.971349080084,1.79235523940304e-11,25.306694362312555,-25.306694362312555,-0.0,0.0,-25.306694362312555
2024-05-08 22:02:04,897816.075344576,-1555410.5748457287,-6623462.296916335,4164.479061159706,-6056.559683080317,1978.1222819686418,1.777586679534935e-11,25.098231829702854,-25.098231829702854,-0.0,0.0,-25.098231829702854
2024-05-08 22:02:05,901980.0020932112,-1561466.1777934579,-6621480.088268895,4163.374768971806,-6054.647630714589,1986.2707843019948,1.7628476558197954e-11,24.890185970813036,-24.890185970813036,-0.0,0.0,-24.890185970813036
2024-05-08 22:02:06,906142.8225544937,-1567519.8659448556,-6619489.73664664,4162.2653708637445,-6052.72815254157,1994.416846162388,1.7481441816710476e-11,24.682641677558422,-24.682641677558422,-0.0,0.0,-24.682641677558422
2024-05-08 22:02:07,910304.5316132384,-1573571.6318586404,-6617491.2444345895,4161.150868144041,-6050.801250828026,2002.5604576320666,1.733482269653728e-11,24.475683830678463,-24.475683830678463,-0.0,0.0,-24.475683830678463
2024-05-08 22:02:08,914465.1241542593,-1579621.46809353,-6615484.614017764,4160.031262121215,-6048.866927840723,2010.701608793275,1.718867927525087e-11,24.269397243857384,-24.269397243857384,-0.0,0.0,-24.269397243857384
2024-05-08 22:02:09,918624.5950623715,-1585669.367208243,-6613469.847781184,4158.9065541037835,-6046.925185846426,2018.8402897282588,1.7043071695780338e-11,24.063866823911667,-24.063866823911667,-0.0,0.0,-24.063866823911667
