UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 01:11:42,7.177874789667061e-13,4.925179071993912e-13,1.0319654583924898e-12,7.529687100222698e-13,6.6891069e-13,8.0804964e-13,7.938625477056827e-13
2023-05-06 01:11:57,7.199510866742965e-13,4.95343391059276e-13,1.042401846940247e-12,7.509286967931041e-13,6.7343048e-13,8.1590924e-13,7.979483331346445e-13
2023-05-06 01:12:12,7.217597755350847e-13,4.981112627430813e-13,1.053111941962047e-12,7.48898057305883e-13,6.747731e-13,8.201752e-13,8.016743450184852e-13
2023-05-06 01:12:27,7.237129011735269e-13,5.008214497784126e-13,1.0640588586014232e-12,7.493274039163156e-13,6.7395968e-13,8.280711e-13,8.055395747130848e-13
2023-05-06 01:12:42,7.255510027458186e-13,5.034724537142898e-13,1.0751998895963071e-12,7.518985183072444e-13,6.7302799e-13,8.323434e-13,8.092671290547914e-13
2023-05-06 01:12:57,7.272443409805964e-13,5.06064288708559e-13,1.0864925071714079e-12,7.543241189620524e-13,6.7086047e-13,8.401924e-13,8.128096341557011e-13
2023-05-06 01:13:12,7.285717607648111e-13,5.085955442357433e-13,1.0978886798413889e-12,7.557267918957742e-13,6.7017397e-13,8.444474e-13,8.159456528472928e-13
2023-05-06 01:13:27,7.296675088625844e-13,5.110663542185156e-13,1.1093410788904213e-12,7.568263677458073e-13,6.7012e-13,8.522192e-13,8.188180698529975e-13
2023-05-06 01:13:42,7.308668054475768e-13,5.134754349718481e-13,1.120797384060844e-12,7.601117468594104e-13,6.6955974e-13,8.5641563e-13,8.217601646487303e-13
2023-05-06 01:13:57,7.318741955681394e-13,5.158230703780983e-13,1.1322066649784399e-12,7.672689743064916e-13,6.6973089e-13,8.639974e-13,8.24465666452835e-13
2023-05-06 01:14:12,7.328876707939085e-13,5.18108105747653e-13,1.1435136280851503e-12,7.743730614167488e-13,6.6974322e-13,8.6799036e-13,8.271257110435178e-13
2023-05-06 01:14:27,7.336062986767997e-13,5.203309756441947e-13,1.1546652175939212e-12,7.777103533701139e-13,6.6979156e-13,8.752429e-13,8.294376952399604e-13
2023-05-06 01:14:42,7.341038955656395e-13,5.224906857687607e-13,1.1656048580587249e-12,7.795441026936128e-13,6.6907968e-13,8.791432e-13,8.314693491203619e-13
2023-05-06 01:14:57,7.347557070384917e-13,5.245878532574676e-13,1.176279196078599e-12,7.822960438271606e-13,6.6801015e-13,8.862218e-13,8.335911241331279e-13
2023-05-06 01:15:12,7.353637616753215e-13,5.266216620908108e-13,1.1866322913240837e-12,7.867096167994041e-13,6.6680627e-13,8.9004655e-13,8.356085454308902e-13
2023-05-06 01:15:27,7.360636600476214e-13,5.285929243319917e-13,1.196612490065048e-12,7.917147446081968e-13,6.6425429e-13,8.9692446e-13,8.376596041357186e-13
2023-05-06 01:15:42,7.367241501901454e-13,5.305010106738615e-13,1.206166547452012e-12,7.954540752779095e-13,6.6455937e-13,9.0064685e-13,8.396104865366165e-13
2023-05-06 01:15:57,7.375128738241775e-13,5.323469333871553e-13,1.215246601219425e-12,7.979712397108861e-13,6.6773727e-13,9.0731323e-13,8.416265861434966e-13
