,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Computed Density
79,2003-10-27 22:19:47,3834140.6989882495,5256561.872738275,1858851.9171356917,-1555.1527774255064,-1486.052801931659,7370.864644113154,-1.0878772188860353e-05,-1.2527134715334398e-05,-3.42905119943282e-06,3.935508798348728e-12,2.8448980406505732e-12,3.040602294670337e-12,1.0588862804033916e-11
80,2003-10-27 22:20:02,3810259.110799732,5233510.652751019,1969139.4768254752,-1628.9803590670565,-1587.3665863293027,7333.788116517714,-1.08488605272683e-05,-1.3423256866040845e-05,-4.521329479256764e-06,3.9323124278972696e-12,2.827681478825142e-12,3.0199764271251738e-12,5.914932806310958e-12
81,2003-10-27 22:20:17,3785273.646877705,5208943.171903614,2078854.9055009827,-1702.3362014361364,-1688.2209153276094,7294.5805190102,-1.0073438489577313e-05,-1.4161806357826379e-05,-4.4917660444454555e-06,3.928593913830229e-12,2.809980614097402e-12,2.999413667627931e-12,8.507814034580583e-12
82,2003-10-27 22:20:32,3759191.4912114246,5182866.470521763,2187966.2933406327,-1775.1987772683212,-1788.5862239588835,7253.253269804213,-9.048618803575437e-06,-1.4858236246695355e-05,-4.337145472987913e-06,3.924400087120897e-12,2.791918000578146e-12,2.9790130617498885e-12,1.1544122883023271e-11
83,2003-10-27 22:20:47,3732020.2562203016,5155288.177696178,2296441.96742906,-1847.5467749248467,-1888.4331278524332,7209.8186556178625,-8.816909494058223e-06,-1.6383872273983968e-05,-5.479214436387991e-06,3.919762304563631e-12,2.7736183919512482e-12,2.958859123794228e-12,7.898095892921897e-12
84,2003-10-27 22:21:02,3703767.766817092,5126216.215592647,2404250.379491414,-1919.3589971302965,-1987.7323541831374,7164.289372322401,-9.40249778658142e-06,-1.662409872427162e-05,-5.860518021538752e-06,3.914724511460517e-12,2.7552276154867194e-12,2.9390445037886134e-12,9.340179583105163e-12
85,2003-10-27 22:21:17,3674442.2694577705,5095659.089912265,2511360.242908694,-1990.6144884369758,-2086.454895711166,7116.67888389717,-9.485461249347793e-06,-1.3297663663536241e-05,-3.913052122328509e-06,3.90931598816312e-12,2.7368879033983476e-12,2.919647851597259e-12,1.9542884100664125e-11
86,2003-10-27 22:21:32,3644052.219775782,5063625.596195249,2617740.408101828,-2061.2924029617866,-2184.571856544396,7067.00106209325,-9.210525301561745e-06,-9.043817401632737e-06,-2.318813326684932e-06,3.903579057158928e-12,2.718756226554718e-12,2.9007561579218175e-12,2.3347409839147737e-11
87,2003-10-27 22:21:47,3612606.4885712136,5030125.105803027,2723360.011995615,-2131.3720912522704,-2282.0545205962258,7015.270641640597,-8.580268224811505e-06,-6.887319517367985e-06,-2.402930912914769e-06,3.897541757185361e-12,2.7009797651011546e-12,2.88244269125623e-12,1.789801831405399e-11
88,2003-10-27 22:22:02,3580114.152146471,4995167.276077784,2828188.340485184,-2200.8330115318663,-2378.8742834076197,6961.502780650636,-7.521965884826898e-06,-7.078745829502964e-06,-3.511181184023826e-06,3.891245350288195e-12,2.6837141349407004e-12,2.8647889352266194e-12,9.284506909278877e-12
89,2003-10-27 22:22:17,3546584.693646595,4958762.332463529,2932194.9888431006,-2269.6548562969488,-2475.0028072242694,6905.71346778176,-7.624256465277313e-06,-1.058414459631507e-05,-5.444807166021803e-06,3.8847170806048954e-12,2.6670993920987307e-12,2.8478625734380288e-12,6.039231823051742e-12
90,2003-10-27 22:22:32,3512027.799881078,4920920.784674256,3035349.715573677,-2337.8174534546242,-2570.411915682942,6847.9190974355915,-8.174035448504924e-06,-1.3611780413036456e-05,-7.281517616863908e-06,3.877997184396417e-12,2.651278159659303e-12,2.8317387274706628e-12,4.25128979817725e-12
