UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,Unnamed: 14,latitude,longitude,altitude,AccelerometerDensity,NRLMSISE-00
2023-04-24 11:14:42,-5185042.302932017,428283.0558419507,4477615.997426627,-4968.438696400914,231.42594141888335,-5773.590222735108,,,,1.1709628466860525e-07,9.994976246652244e-08,6.868284341265962e-08,-8.062813374766671e-13,,40.76491649782503,154.68132748861987,495131.3057973358,1.7165897e-12,1.4078224e-12
2023-04-24 11:14:57,-5258847.639294857,431695.0059214757,4390394.543717981,-4872.046309690654,223.4902119160819,-5855.667416792517,,,,-2.620287462562487e-07,-2.6032961564226298e-08,1.1565053359419153e-07,5.006966703744143e-13,,39.810034370639286,154.64729611420842,494799.7378725944,1.7209867e-12,1.4030792e-12
2023-04-24 11:15:12,-5331196.896185317,434987.44975826936,4301954.061582708,-4774.294776920471,215.4918008811736,-5936.127334812503,,,,-3.7311719136567945e-07,-8.900027970160097e-08,9.953929236417023e-09,1.4369406781880332e-12,,38.854933953409336,154.61248512214962,494471.1641152662,1.7195489e-12,1.3979464e-12
2023-04-24 11:15:27,-5402069.820159125,438159.45758165297,4212318.92449766,-4675.210932881938,207.4329010218447,-6014.947157134819,,,,-2.425008363005077e-07,-7.19666108928152e-08,-1.7096302329377977e-07,1.8116836597263217e-12,,37.89961720430037,154.5769407178177,494145.8367628739,1.7140297e-12,1.3924415e-12
2023-04-24 11:15:42,-5471446.699427695,441210.14477815013,4121513.95742947,-4574.822117722994,199.31573328383377,-6092.104661779315,,,,-9.89624737712802e-08,-2.7355089415870282e-08,-1.1472039140869585e-07,9.670164446958962e-13,,36.944086304286834,154.54070590825273,493824.1824537912,1.7115088e-12,1.3866224e-12
2023-04-24 11:15:57,-5539308.09675218,444138.6490588948,4029564.2060601064,-4473.155921509223,191.14253243509737,-6167.5779271513275,,,,-1.22908207167427e-07,-3.606947007739336e-08,6.432725463412228e-08,1.231186908026815e-13,,35.98834361824121,154.50382079650396,493506.4479432184,1.7050818e-12,1.3805415e-12
2023-04-24 11:16:12,-5605635.131436992,446944.1522762589,3936495.1474431166,-4370.240428620461,182.91556029441185,-6241.345635518062,,,,-3.209574259699366e-07,-1.167109968669422e-07,7.40063788029488e-08,7.751260128910494e-13,,35.03239172471274,154.46632284480327,493193.0520865048,1.6963522e-12,1.3742127e-12
2023-04-24 11:16:27,-5670409.204857971,449625.85881358833,3842332.470228954,-4266.103968383476,174.6370915882941,-6313.38677535711,,,,-3.931356067354841e-07,-1.758682514063637e-07,5.271700409537061e-09,1.3600950308192885e-12,,34.076233387063866,154.42824709685948,492884.23301490326,1.6881117e-12,1.3677304e-12
2023-04-24 11:16:42,-5733612.290133394,452183.0190368844,3747102.278084118,-4160.775355598576,166.30942562340516,-6383.680956125724,,,,-3.088487368074766e-07,-1.7847562860939808e-07,-1.412008199253023e-07,1.818523657495946e-12,,33.119871594409325,154.38962637957297,492580.4021591438,1.6844533e-12,1.3611003e-12
2023-04-24 11:16:57,-5795226.649729217,454614.906536051,3650830.8769933176,-4054.283644349992,157.93487330942315,-6452.208104366496,,,,-2.422952194436334e-07,-1.2992180276061305e-07,-3.00507352335444e-08,9.742254410570254e-13,,32.16330952126198,154.35049149074868,492281.7894330128,1.6753642e-12,1.3544126e-12
2023-04-24 11:17:12,-5855235.131759651,456920.84181394614,3553544.9671980613,-3946.6583603841486,149.51576738795092,-6518.94879398367,,,,-1.731841052787786e-07,-1.395153471639432e-07,-2.1252197335286386e-08,6.752852080305538e-13,,31.20655055587268,154.31087136341557,491988.79638946295,1.673505e-12,1.3476959e-12
2023-04-24 11:17:27,-5913620.880741016,459100.16863180377,3455271.4414640106,-3837.929257591779,141.0544499164647,-6583.883929479019,,,,-3.102766781282185e-07,-1.3303510082440797e-07,-1.3507632345977072e-08,1.062640859372731e-12,,30.249598268449375,154.2707932257003,491701.6422625292,1.675902e-12,1.3410248e-12
2023-04-24 11:17:42,-5970367.641149822,461152.2768714074,3356037.5683966503,-3728.126530778703,132.55327838400805,-6646.995090382793,,,,-2.9050034822120097e-07,-1.3364976025886932e-07,5.307826178579944e-09,8.678484080050032e-13,,29.29245644532139,154.23028274603365,491420.7186491531,1.6782405e-12,1.334405e-12
2023-04-24 11:17:57,-6025459.460369482,463076.57999482425,3255870.7991745477,-3617.280586998279,124.0146168098999,-6708.26419509715,,,,-2.921271269329395e-07,-1.0104018233203504e-07,-1.7605111146679064e-08,9.792189540283905e-13,,28.33512905221709,154.18936415155065,491146.2338872893,1.6772436e-12,1.3279283e-12
2023-04-24 11:18:12,-6078880.997450837,464872.5396647062,3154798.9394287923,-3505.4222413789557,115.44083990299283,-6767.673842483406,,,,-3.643037347345057e-07,-5.303970296299809e-08,-1.6807808478347397e-08,1.1664206251425513e-12,,27.37762026152876,154.14806033450716,490878.5666462158,1.6745903e-12,1.321627e-12
2023-04-24 11:18:27,-6130617.220587313,466539.64139434847,3052849.9670498515,-3392.58251046689,106.83432802770923,-6825.206972894223,,,,-3.601713629564074e-07,-6.565584009798897e-08,-1.5031515143704155e-08,1.1096945459293706e-12,,26.419934419153986,154.1063929653469,490617.9114487905,1.6744884e-12,1.3155406e-12
2023-04-24 11:18:42,-6180653.722875262,468077.4178990349,2950052.1945131896,-3278.792808403963,98.19747348121746,-6880.847212188535,,,,-3.393695768849625e-07,-6.26648405388508e-08,-1.199405148533117e-07,1.627307996273917e-12,,25.46207607311976,154.0643825946644,490364.63385624246,1.6777644e-12,1.3097149e-12
2023-04-24 11:18:57,-6228976.412567123,469485.4258094229,2846434.096218355,-3164.0847453133947,89.53267545167276,-6934.578534846946,,,,-3.313196286214293e-07,-7.46406011442602e-08,-3.828790795523673e-08,1.1008079034891216e-12,,24.504049939686464,154.02204873583847,490118.9146087303,1.6833945e-12,1.3041799e-12
2023-04-24 11:19:12,-6275571.8336367505,470763.2702156748,2742024.4596762327,-3048.490317647989,80.8423487584325,-6986.385624330528,,,,-2.800887068943325e-07,-7.953658676118638e-08,-7.919444255932717e-08,1.1795994929957384e-12,,23.54586092920101,153.97940994196108,489881.1042990623,1.683279e-12,1.2989707e-12
2023-04-24 11:19:27,-6320426.850869032,471910.5804382128,2636852.223807103,-2932.041707857787,72.12891586659357,-7036.253525414564,,,,-3.663385825802834e-07,-9.600755390692941e-08,-6.746716740835268e-08,1.2983061271204653e-12,,22.587514113876637,153.93648388221698,489651.368081419,1.6720131e-12,1.2941266e-12
2023-04-24 11:19:42,-6363528.976571551,472927.0342589943,2530946.620057493,-2814.7714560521754,63.39481419300907,-7084.168019150764,,,,-2.946684549698375e-07,-1.7245972361301656e-07,-1.000463361044979e-07,1.2859539426640949e-12,,21.62901475538597,153.89328741140005,489430.0417830919,1.6640534e-12,1.2896594e-12
2023-04-24 11:19:57,-6404866.049326189,473812.33381366293,2424337.020128629,-2696.712272545831,54.642487358751715,-7130.11525809211,,,,-3.130107355531209e-07,-2.0627404118123138e-07,-7.943626956219418e-08,1.1779968481652601e-12,,20.670368266898087,153.8498366317135,489217.2751594966,1.6434371e-12,1.2856042e-12
2023-04-24 11:20:12,-6444426.565289321,474566.2301910752,2317053.0642142883,-2577.89719081528,45.87438885001696,-7174.082144520239,,,,-3.598613282917995e-07,-1.890753063005235e-07,-6.63343056039878e-08,1.1741885483982633e-12,,19.7115802255798,153.80614694999227,489013.3874909896,1.6345471e-12,1.2819471e-12
2023-04-24 11:20:27,-6482199.351622861,475188.4990416133,2209124.521593513,-2458.359399877774,37.09297612468179,-7216.055958186776,,,,-4.5450106789246547e-07,-1.1546489675495765e-07,-5.44805400792825e-08,1.2676516147694117e-12,,18.7526563509057,153.76223313156245,488818.5112891138,1.6188845e-12,1.278735e-12
2023-04-24 11:20:42,-6518173.901936406,475678.9653085475,2100581.409393864,-2338.1323877516365,28.30071266222689,-7256.024738994697,,,,-3.8156596460225956e-07,-6.967628007892301e-08,-1.7359867721111757e-07,1.809630731082225e-12,,17.79360253027638,153.71810934889652,488632.94848102634,1.6106244e-12,1.2759688e-12
2023-04-24 11:20:57,-6552340.045394153,476037.4786046349,1991453.862475276,-2217.2497844428303,19.500064430704075,-7293.976911689691,,,,-3.9021113984460953e-07,-8.145746621668337e-08,-1.4488710364801705e-07,1.6163400877500656e-12,,16.834424782905774,153.67378922932627,488456.8136434188,1.5951822e-12,1.273624e-12
2023-04-24 11:21:12,-6584688.28693103,476263.93792769033,1881772.2387786629,-2095.7454889068217,10.69350133084595,-7329.901680236989,,,,-3.023754224784625e-07,-1.2833973173087545e-07,-8.397477069266301e-08,1.0501419892023358e-12,,15.875129265991008,153.62928589829792,488290.39057983144,1.5890576e-12,1.2717252e-12
2023-04-24 11:21:27,-6615209.471136996,476358.2668957925,1771567.0021187267,-1973.653524263956,1.8834947762625327,-7363.78864050429,,,,-4.33581806902339e-07,-1.5960701571504648e-07,-1.1486023376861001e-07,1.4315766266518741e-12,,14.915722254849271,153.58461202086266,488133.7752137799,1.5791586e-12,1.2702312e-12
2023-04-24 11:21:42,-6643895.125451411,476320.43822301785,1660868.816724331,-1851.0081413446137,-6.927481700607177,-7395.628176749565,,,,-4.0825754510365186e-07,-1.70856403802766e-07,-1.7450942735308677e-07,1.7229932120533616e-12,,13.95621015497806,153.53977984152988,487987.23201821995,1.5723568e-12,1.2691658e-12
2023-04-24 11:21:57,-6670737.120182526,476150.44947156566,1549708.4410393657,-1727.843696258282,-15.73695362397843,-7425.411066604229,,,,-3.726601409681507e-07,-1.981706777565151e-07,-2.4145546073661706e-07,2.0532959109597225e-12,,12.996599479106598,153.4948012158645,487850.8367489583,1.5511754e-12,1.2684951e-12
